selection_rank,paper_id,published,priority,category,title,authors,primary_category,abs_url,pdf_url
11,2602.16666,2026-02-18T18:05:44Z,B,reliability,Towards a Science of AI Agent Reliability,Stephan Rabanser; Sayash Kapoor; Peter Kirgis; Kangheng Liu; Saiteja Utpala; Arvind Narayanan,cs.AI,https://arxiv.org/abs/2602.16666,https://arxiv.org/pdf/2602.16666
12,2606.19613,2026-06-17T21:36:09Z,A,reliability,StaminaBench: Stress-Testing Coding Agents over 100 Interaction Turns,Vlad Sobal; Shuo Yang; Yuting Zhang; Wei Xia; Stefano Soatto,cs.SE,https://arxiv.org/abs/2606.19613,https://arxiv.org/pdf/2606.19613
13,2605.14271,2026-05-14T02:14:28Z,A,safety,Auditing Agent Harness Safety,Chengzhi Liu; Yichen Guo; Yepeng Liu; Yuzhe Yang; Qianqi Yan; Xuandong Zhao; Wenyue Hua; Sheng Liu; Sharon Li; Yuheng Bu; Xin Eric Wang,cs.CL,https://arxiv.org/abs/2605.14271,https://arxiv.org/pdf/2605.14271
14,2607.04528,2026-07-05T22:22:39Z,A,measurement,Measuring Harness-Induced Belief Divergence in Multi-Step LLM Agents,Haiwen Yi; Xinyuan Song,cs.AI,https://arxiv.org/abs/2607.04528,https://arxiv.org/pdf/2607.04528
15,2607.06906,2026-07-08T01:58:12Z,B,cost,The Harness Effect: How Orchestration Design Sets the Token Economics of Enterprise Agentic AI,Muayad Sayed Ali; Aliaksandra Novik; Anji Boddupally; Artem Yavorskyi; Chris Nickerson; Daniel Rica; Emily DuGranrut; Felix Leung; Garrett Prince; Grace Barnett; Heath Robinson; Hosain Al Ahmad; Jesse Resnick; Juan Carlos Farah; Jyothi Swaroop Meruga; Leonid Kuznetsov; Luke Gorham; Marie Schmoll; Michael Paciullo; Saumya Das; Sharath Sheripally; Tommy Griscom; Mykyta Osadchyi; Neha Mantri; Nick Westrum; Olivia Benowitz; Parikshith Kulkarni; Radik Chernyshov; Rakshith Vasudev; Rohith Nadimpally; Vikas Gangadevi; Waseem AlShikh,cs.AI,https://arxiv.org/abs/2607.06906,https://arxiv.org/pdf/2607.06906
16,2605.29682,2026-05-28T09:45:47Z,A,cost,Scaling Laws for Agent Harnesses via Effective Feedback Compute,Xuanliang Zhang; Dingzirui Wang; Keyan Xu; Qingfu Zhu; Wanxiang Che,cs.CL,https://arxiv.org/abs/2605.29682,https://arxiv.org/pdf/2605.29682
17,2605.05716,2026-05-07T06:01:43Z,A,components,More Is Not Always Better: Cross-Component Interference in LLM Agent Scaffolding,Ming Liu,cs.AI,https://arxiv.org/abs/2605.05716,https://arxiv.org/pdf/2605.05716
18,2606.14674,2026-06-12T17:39:49Z,A,components,AgentSpec: Understanding Embodied Agent Scaffolds Through Controlled Composition,Jixuan Chen; Jianzhi Shen; Haoqiang Kang; Zhi Hong; Qingyi Jiang; Soham Bose; Yiming Zhang; Leon Leng; Amit Vyas; Lingjun Mao; Siru Ouyang; Kun Zhou; Lianhui Qin,cs.CL,https://arxiv.org/abs/2606.14674,https://arxiv.org/pdf/2606.14674
19,2605.26731,2026-05-26T09:08:41Z,A,interaction,It's Not the Capability: Harness Sensitivity Is Non-Monotone Across LLM Agent Tiers,Yong-eun Cho,cs.AI,https://arxiv.org/abs/2605.26731,https://arxiv.org/pdf/2605.26731
20,2605.30621,2026-05-28T22:16:14Z,A,interaction,Harness Updating Is Not Harness Benefit: Disentangling Evolution Capabilities in Self-Evolving LLM Agents,Minhua Lin; Juncheng Wu; Zijun Wang; Zhan Shi; Yisi Sang; Bing He; Zewen Liu; Tianxin Wei; Zongyu Wu; Zhiwei Zhang; Dakuo Wang; Xiang Zhang; Benoit Dumoulin; Cihang Xie; Yuyin Zhou; Suhang Wang; Hanqing Lu,cs.AI,https://arxiv.org/abs/2605.30621,https://arxiv.org/pdf/2605.30621
21,2604.03515,2026-04-03T23:30:02Z,A,taxonomy,Inside the Scaffold: A Source-Code Taxonomy of Coding Agent Architectures,Benjamin Rombaut,cs.SE,https://arxiv.org/abs/2604.03515,https://arxiv.org/pdf/2604.03515
22,2605.13357,2026-05-13T11:14:59Z,B,taxonomy,AI Harness Engineering: A Runtime Substrate for Foundation-Model Software Agents,Hailin Zhong; Shengxin Zhu,cs.SE,https://arxiv.org/abs/2605.13357,https://arxiv.org/pdf/2605.13357
23,2605.26112,2026-05-25T17:59:36Z,B,taxonomy,From Model Scaling to System Scaling: Scaling the Harness in Agentic AI,Shangding Gu,cs.AI,https://arxiv.org/abs/2605.26112,https://arxiv.org/pdf/2605.26112
24,2604.08224,2026-04-09T13:19:41Z,A,survey,"Externalization in LLM Agents: A Unified Review of Memory, Skills, Protocols and Harness Engineering",Chenyu Zhou; Huacan Chai; Wenteng Chen; Zihan Guo; Rong Shan; Yuanyi Song; Tianyi Xu; Yingxuan Yang; Aofan Yu; Weiming Zhang; Congming Zheng; Jiachen Zhu; Zeyu Zheng; Zhuosheng Zhang; Xingyu Lou; Changwang Zhang; Zhihui Fu; Jun Wang; Weiwen Liu; Jianghao Lin; Weinan Zhang,cs.SE,https://arxiv.org/abs/2604.08224,https://arxiv.org/pdf/2604.08224
25,2606.20683,2026-06-14T05:40:16Z,B,survey,From Question Answering to Task Completion: A Survey on Agent System and Harness Design,Jianyuan Guo; Zhiwei Hao; Chengcheng Wang; Cheng Fan; Tingzhang Luo; Hongguang Li; Ying Gao; Hefei Mei; Jiankun Peng; Rongjian Xu; Minjing Dong; Han Wu; Mengyu Zheng; Kai Han; Shiqi Wang; Chang Xu; Yunhe Wang,cs.AI,https://arxiv.org/abs/2606.20683,https://arxiv.org/pdf/2606.20683
26,2602.22953,2026-02-26T12:48:02Z,A,measurement,General Agent Evaluation,Elron Bandel; Asaf Yehudai; Lilach Eden; Yehoshua Sagron; Yotam Perlitz; Elad Venezian; Natalia Razinkov; Natan Ergas; Shlomit Shachor Ifergan; Segev Shlomov; Michal Jacovi; Leshem Choshen; Liat Ein-Dor; Yoav Katz; Michal Shmueli-Scheuer,cs.AI,https://arxiv.org/abs/2602.22953,https://arxiv.org/pdf/2602.22953
27,2603.28052,2026-03-30T05:33:50Z,A,optimization,Meta-Harness: End-to-End Optimization of Model Harnesses,Yoonho Lee; Roshen Nair; Qizheng Zhang; Kangwook Lee; Omar Khattab; Chelsea Finn,cs.AI,https://arxiv.org/abs/2603.28052,https://arxiv.org/pdf/2603.28052
28,2604.25850,2026-04-28T16:55:02Z,A,optimization,Agentic Harness Engineering: Observability-Driven Automatic Evolution of Coding-Agent Harnesses,Jiahang Lin; Shichun Liu; Chengjun Pan; Lizhi Lin; Shihan Dou; Zhiheng Xi; Xuanjing Huang; Hang Yan; Zhenhua Han; Tao Gui; Yu-Gang Jiang,cs.CL,https://arxiv.org/abs/2604.25850,https://arxiv.org/pdf/2604.25850
29,2606.01770,2026-06-01T06:51:14Z,A,optimization,Adaptive Auto-Harness: Sustained Self-Improvement for Agentic System Deployment on Open-Ended Task Streams,Zewen Liu; Zhan Shi; Yisi Sang; Bing He; Minhua Lin; Tianxin Wei; Dakuo Wang; Benoit Dumoulin; Wei Jin; Hanqing Lu,cs.LG,https://arxiv.org/abs/2606.01770,https://arxiv.org/pdf/2606.01770
30,2606.09498,2026-06-08T13:50:23Z,A,optimization,Self-Harness: Harnesses That Improve Themselves,Hangfan Zhang; Shao Zhang; Kangcong Li; Chen Zhang; Yang Chen; Yiqun Zhang; Lei Bai; Shuyue Hu,cs.CL,https://arxiv.org/abs/2606.09498,https://arxiv.org/pdf/2606.09498
31,2605.22166,2026-05-21T08:36:49Z,A,transfer,"Adapting the Interface, Not the Model: Runtime Harness Adaptation for Deterministic LLM Agents",Tianshi Xu; Huifeng Wen; Meng Li,cs.AI,https://arxiv.org/abs/2605.22166,https://arxiv.org/pdf/2605.22166
32,2606.05922,2026-06-04T09:26:00Z,A,optimization,Evolving Agents in the Dark: Retrospective Harness Optimization via Self-Preference,Wenbo Pan; Shujie Liu; Chin-Yew Lin; Jingying Zeng; Xianfeng Tang; Xiangyang Zhou; Yan Lu; Xiaohua Jia,cs.AI,https://arxiv.org/abs/2606.05922,https://arxiv.org/pdf/2606.05922
33,2607.08124,2026-07-09T05:53:39Z,A,optimization,TTHE: Test-Time Harness Evolution,Jun Nie; Yonggang Zhang; Jun Song; Qianshu Cai; Dahai Yu; Yike Guo; Xinmei Tian; Bo Han,cs.SE,https://arxiv.org/abs/2607.08124,https://arxiv.org/pdf/2607.08124
34,2607.05458,2026-07-05T22:11:18Z,A,control,Learning to Control LLM Agent Harnesses with Offline Reinforcement Learning,Haiwen Yi; Xinyuan Song,cs.LG,https://arxiv.org/abs/2607.05458,https://arxiv.org/pdf/2607.05458
35,2606.12882,2026-06-11T04:18:37Z,A,control,HarnessBridge: Learnable Bidirectional Controller for LLM Agent Harness,Xiaoxuan Wang; Haixin Wang; Alexander Taylor; Jason Cong; Yizhou Sun; Wei Wang,cs.AI,https://arxiv.org/abs/2606.12882,https://arxiv.org/pdf/2606.12882
36,2606.06324,2026-06-04T15:58:30Z,A,diagnosis,From Failed Trajectories to Reliable LLM Agents: Diagnosing and Repairing Harness Flaws,Mengzhuo Chen; Junjie Wang; Zhe Liu; Yawen Wang; Haiming Zheng; Qing Wang,cs.SE,https://arxiv.org/abs/2606.06324,https://arxiv.org/pdf/2606.06324
37,2605.24539,2026-05-23T12:10:52Z,B,optimization,DemoEvolve: Overcoming Sparse Feedback in Agentic Harness Evolution with Demonstrations,Lirong Che; Yuzhe yang; Peiwen lin; Chuang wang; Xueqian wang; Jian su,cs.AI,https://arxiv.org/abs/2605.24539,https://arxiv.org/pdf/2605.24539
38,2605.30785,2026-05-29T03:21:08Z,A,context,Learning Agent-Compatible Context Management for Long-Horizon Tasks,Lu Yi; Runlin Lei; Liuyi Yao; Yuexiang Xie; Yuyang Li; Wenhao Zhang; Zhewei Wei; Yaliang Li; Jian-Yun Nie,cs.AI,https://arxiv.org/abs/2605.30785,https://arxiv.org/pdf/2605.30785
39,2606.11213,2026-05-01T18:39:02Z,A,context,Beyond Compaction: Structured Context Eviction for Long-Horizon Agents,Andrew Semenov; Svyatoslav Dorofeev,cs.CL,https://arxiv.org/abs/2606.11213,https://arxiv.org/pdf/2606.11213
40,2606.22528,2026-06-21T14:30:20Z,A,context-safety,Governance Decay: How Context Compaction Silently Erases Safety Constraints in Long-Horizon LLM Agents,Shiyang Chen,cs.AI,https://arxiv.org/abs/2606.22528,https://arxiv.org/pdf/2606.22528
41,2606.22953,2026-06-22T07:30:47Z,A,context,Plans Don't Persist: Why Context Management Is Load Bearing for LLM Agents,Aman Mehta; Anupam Datta,cs.AI,https://arxiv.org/abs/2606.22953,https://arxiv.org/pdf/2606.22953
42,2607.08716,2026-07-09T17:26:28Z,A,memory,Remember When It Matters: Proactive Memory Agent for Long-Horizon Agents,Yifan Wu; Lizhu Zhang; Yuhang Zhou; Mingyi Wang; Bo Peng; Serena Li; Xiangjun Fan; Zhuokai Zhao,cs.AI,https://arxiv.org/abs/2607.08716,https://arxiv.org/pdf/2607.08716
43,2605.17641,2026-05-17T20:21:55Z,A,memory-causal,Causal Intervention-Based Memory Selection for Long-Horizon LLM Agents,Saksham Sahai Srivastava,cs.AI,https://arxiv.org/abs/2605.17641,https://arxiv.org/pdf/2605.17641
44,2606.06284,2026-06-04T15:24:10Z,A,tools,ToolChoiceConfusion: Causal Minimal Tool Filtering for Reliable LLM Agents,Rahul Suresh Babu; Laxmipriya Ganesh Iyer,cs.AI,https://arxiv.org/abs/2606.06284,https://arxiv.org/pdf/2606.06284
45,2606.15508,2026-06-13T23:27:51Z,A,tools,ToolMenuBench: Benchmarking Tool-Menu Filtering Strategies for Reliable and Efficient LLM Agents,Rahul Suresh Babu; Laxmipriya Ganesh Iyer,cs.AI,https://arxiv.org/abs/2606.15508,https://arxiv.org/pdf/2606.15508
46,2605.15221,2026-05-13T06:33:06Z,B,cost,Effective Harness Engineering for Algorithm Discovery with Coding Agents,Yoichi Ishibashi; Taro Yano; Masafumi Oyamada,cs.SE,https://arxiv.org/abs/2605.15221,https://arxiv.org/pdf/2605.15221
47,2602.02475,2026-02-02T18:54:07Z,A,diagnosis,AgentRx: Diagnosing AI Agent Failures from Execution Trajectories,Shraddha Barke; Arnav Goyal; Alind Khare; Avaljot Singh; Suman Nath; Chetan Bansal,cs.AI,https://arxiv.org/abs/2602.02475,https://arxiv.org/pdf/2602.02475
48,2606.03467,2026-06-02T10:45:49Z,B,diagnosis,StepFinder: A Temporal Semantic Framework for Failure Attribution in Multi-Agent Systems,Taiyu Zhu; Yifan Wu; Weilin Jin; Ying Li; Gang Huang,cs.AI,https://arxiv.org/abs/2606.03467,https://arxiv.org/pdf/2606.03467
49,2606.00765,2026-05-30T15:11:35Z,A,diagnosis,FALAT: Tracing Failures in LLM Agent Trajectories via Dependency-Guided Search,Md Nakhla Rafi; Md Ahasanuzzaman; Dong Jae Kim; Zhijie Wang; Tse-Hsun Chen,cs.AI,https://arxiv.org/abs/2606.00765,https://arxiv.org/pdf/2606.00765
50,2606.08275,2026-06-06T17:44:23Z,A,causal,Causal Agent Replay: Counterfactual Attribution for LLM-Agent Failures,Jaineet Shah,cs.LG,https://arxiv.org/abs/2606.08275,https://arxiv.org/pdf/2606.08275
51,2509.03312,2025-09-03T13:42:14Z,A,causal,AgenTracer: Who Is Inducing Failure in the LLM Agentic Systems?,Guibin Zhang; Junhao Wang; Junjie Chen; Wangchunshu Zhou; Kun Wang; Shuicheng Yan,cs.CL,https://arxiv.org/abs/2509.03312,https://arxiv.org/pdf/2509.03312
52,2607.07989,2026-07-08T23:33:49Z,A,diagnosis,Who Broke the System? Failure Localization in LLM-Based Multi-Agent Systems,Yufei Xia; Anjun Gao; Yueyang Quan; Zhuqing Liu; Minghong Fang,cs.CR,https://arxiv.org/abs/2607.07989,https://arxiv.org/pdf/2607.07989
53,2210.03629,2022-10-06T01:00:32Z,B,foundation,ReAct: Synergizing Reasoning and Acting in Language Models,Shunyu Yao; Jeffrey Zhao; Dian Yu; Nan Du; Izhak Shafran; Karthik Narasimhan; Yuan Cao,cs.CL,https://arxiv.org/abs/2210.03629,https://arxiv.org/pdf/2210.03629
54,2307.13854,2023-07-25T22:59:32Z,B,benchmark,WebArena: A Realistic Web Environment for Building Autonomous Agents,Shuyan Zhou; Frank F. Xu; Hao Zhu; Xuhui Zhou; Robert Lo; Abishek Sridhar; Xianyi Cheng; Tianyue Ou; Yonatan Bisk; Daniel Fried; Uri Alon; Graham Neubig,cs.AI,https://arxiv.org/abs/2307.13854,https://arxiv.org/pdf/2307.13854
55,2308.03688,2023-08-07T16:08:11Z,B,benchmark,AgentBench: Evaluating LLMs as Agents,Xiao Liu; Hao Yu; Hanchen Zhang; Yifan Xu; Xuanyu Lei; Hanyu Lai; Yu Gu; Hangliang Ding; Kaiwen Men; Kejuan Yang; Shudan Zhang; Xiang Deng; Aohan Zeng; Zhengxiao Du; Chenhui Zhang; Sheng Shen; Tianjun Zhang; Yu Su; Huan Sun; Minlie Huang; Yuxiao Dong; Jie Tang,cs.AI,https://arxiv.org/abs/2308.03688,https://arxiv.org/pdf/2308.03688
56,2310.06770,2023-10-10T16:47:29Z,A,benchmark,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,Carlos E. Jimenez; John Yang; Alexander Wettig; Shunyu Yao; Kexin Pei; Ofir Press; Karthik Narasimhan,cs.CL,https://arxiv.org/abs/2310.06770,https://arxiv.org/pdf/2310.06770
57,2311.12983,2023-11-21T20:34:47Z,A,benchmark,GAIA: a benchmark for General AI Assistants,Grégoire Mialon; Clémentine Fourrier; Craig Swift; Thomas Wolf; Yann LeCun; Thomas Scialom,cs.CL,https://arxiv.org/abs/2311.12983,https://arxiv.org/pdf/2311.12983
58,2401.13178,2024-01-24T01:51:00Z,A,measurement,AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,Chang Ma; Junlei Zhang; Zhihao Zhu; Cheng Yang; Yujiu Yang; Yaohui Jin; Zhenzhong Lan; Lingpeng Kong; Junxian He,cs.CL,https://arxiv.org/abs/2401.13178,https://arxiv.org/pdf/2401.13178
59,2404.07972,2024-04-11T17:56:05Z,A,benchmark,OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments,Tianbao Xie; Danyang Zhang; Jixuan Chen; Xiaochuan Li; Siheng Zhao; Ruisheng Cao; Toh Jing Hua; Zhoujun Cheng; Dongchan Shin; Fangyu Lei; Yitao Liu; Yiheng Xu; Shuyan Zhou; Silvio Savarese; Caiming Xiong; Victor Zhong; Tao Yu,cs.AI,https://arxiv.org/abs/2404.07972,https://arxiv.org/pdf/2404.07972
60,2405.15793,2024-05-06T17:41:33Z,A,interface,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,John Yang; Carlos E. Jimenez; Alexander Wettig; Kilian Lieret; Shunyu Yao; Karthik Narasimhan; Ofir Press,cs.SE,https://arxiv.org/abs/2405.15793,https://arxiv.org/pdf/2405.15793
61,2406.12045,2024-06-17T19:33:08Z,A,reliability,$τ$-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,Shunyu Yao; Noah Shinn; Pedram Razavi; Karthik Narasimhan,cs.AI,https://arxiv.org/abs/2406.12045,https://arxiv.org/pdf/2406.12045
62,2407.01489,2024-07-01T17:24:45Z,A,scaffold,Agentless: Demystifying LLM-based Software Engineering Agents,Chunqiu Steven Xia; Yinlin Deng; Soren Dunn; Lingming Zhang,cs.SE,https://arxiv.org/abs/2407.01489,https://arxiv.org/pdf/2407.01489
63,2407.16741,2024-07-23T17:50:43Z,A,scaffold,OpenHands: An Open Platform for AI Software Developers as Generalist Agents,Xingyao Wang; Boxuan Li; Yufan Song; Frank F. Xu; Xiangru Tang; Mingchen Zhuge; Jiayi Pan; Yueqi Song; Bowen Li; Jaskirat Singh; Hoang H. Tran; Fuqiang Li; Ren Ma; Mingzhang Zheng; Bill Qian; Yanjun Shao; Niklas Muennighoff; Yizhe Zhang; Binyuan Hui; Junyang Lin; Robert Brennan; Hao Peng; Heng Ji; Graham Neubig,cs.SE,https://arxiv.org/abs/2407.16741,https://arxiv.org/pdf/2407.16741
64,2412.14161,2024-12-18T18:55:40Z,A,benchmark,TheAgentCompany: Benchmarking LLM Agents on Consequential Real World Tasks,Frank F. Xu; Yufan Song; Boxuan Li; Yuxuan Tang; Kritanjali Jain; Mengxue Bao; Zora Z. Wang; Xuhui Zhou; Zhitong Guo; Murong Cao; Mingyang Yang; Hao Yang Lu; Amaad Martin; Zhe Su; Leander Maben; Raj Mehta; Wayne Chi; Lawrence Jang; Yiqing Xie; Shuyan Zhou; Graham Neubig,cs.CL,https://arxiv.org/abs/2412.14161,https://arxiv.org/pdf/2412.14161
65,2410.07095,2024-10-09T17:34:27Z,A,auto-research,MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering,Jun Shern Chan; Neil Chowdhury; Oliver Jaffe; James Aung; Dane Sherburn; Evan Mays; Giulio Starace; Kevin Liu; Leon Maksin; Tejal Patwardhan; Lilian Weng; Aleksander Mądry,cs.CL,https://arxiv.org/abs/2410.07095,https://arxiv.org/pdf/2410.07095
66,1506.02629,2015-06-08T19:34:29Z,A,adaptive-statistics,Generalization in Adaptive Data Analysis and Holdout Reuse,Cynthia Dwork; Vitaly Feldman; Moritz Hardt; Toniann Pitassi; Omer Reingold; Aaron Roth,cs.LG,https://arxiv.org/abs/1506.02629,https://arxiv.org/pdf/1506.02629
67,2107.03544,2021-07-08T00:25:59Z,A,sequential-causal,The Micro-Randomized Trial for Developing Digital Interventions: Experimental Design and Data Analysis Considerations,Tianchen Qian; Ashley E. Walton; Linda M. Collins; Predrag Klasnja; Stephanie T. Lanza; Inbal Nahum-Shani; Mashifiqui Rabbi; Michael A. Russell; Maureen A. Walton; Hyesun Yoo; Susan A. Murphy,stat.AP,https://arxiv.org/abs/2107.03544,https://arxiv.org/pdf/2107.03544
68,2605.02122,2026-05-04T01:03:48Z,A,stable-evaluation,STABLEVAL: Disagreement-Aware and Stable Evaluation of AI Systems,Akash Bonagiri; Gerard Janno Anderias; Saee Patil; Angelina Lai; Devang Borkar; Gezheng Kang; Ishant Gandhi; Setareh Rafatirad; Houman Homayoun,cs.LG,https://arxiv.org/abs/2605.02122,https://arxiv.org/pdf/2605.02122
69,2604.02460,2026-04-02T18:47:48Z,A,cost,Single-Agent LLMs Outperform Multi-Agent Systems on Multi-Hop Reasoning Under Equal Thinking Token Budgets,Dat Tran; Douwe Kiela,cs.CL,https://arxiv.org/abs/2604.02460,https://arxiv.org/pdf/2604.02460
70,2402.02101,2024-02-03T09:48:54Z,B,optimization,Are Large Language Models Good Prompt Optimizers?,Ruotian Ma; Xiaolei Wang; Xin Zhou; Jian Li; Nan Du; Tao Gui; Qi Zhang; Xuanjing Huang,cs.CL,https://arxiv.org/abs/2402.02101,https://arxiv.org/pdf/2402.02101
