rank,arxiv_id,published,relevance_score,title,authors,primary_category,score_reasons,matched_queries,abs_url,pdf_url
11,2605.24220,2026-05-22T21:06:12Z,27,Polar: Agentic RL on Any Harness at Scale,Binfeng Xu; Hao Zhang; Shaokun Zhang; Songyang Han; Mingjie Liu; Jian Hu; Shizhe Diao; Zhenghui Jin; Yunheng Zou; Michael Demoret; Jan Kautz; Yi Dong,cs.DC,cost/budget; evaluation; explicit harness/scaffold; harness component; trajectory,"all:""SWE-bench"" AND all:agent | all:""agent harness""",https://arxiv.org/abs/2605.24220,https://arxiv.org/pdf/2605.24220
12,2607.08124,2026-07-09T05:53:39Z,26,TTHE: Test-Time Harness Evolution,Jun Nie; Yonggang Zhang; Jun Song; Qianshu Cai; Dahai Yu; Yike Guo; Xinmei Tian; Bo Han,cs.SE,evaluation; explicit harness/scaffold; harness component; reliability,"all:""LLM agent"" AND all:evaluation | all:""LLM agent"" AND all:robustness",https://arxiv.org/abs/2607.08124,https://arxiv.org/pdf/2607.08124
13,2607.07989,2026-07-08T23:33:49Z,26,Who Broke the System? Failure Localization in LLM-Based Multi-Agent Systems,Yufei Xia; Anjun Gao; Yueyang Quan; Zhuqing Liu; Minghong Fang,cs.CR,attribution/statistics; cost/budget; harness component; reliability; system-level; trajectory,"all:""agentic system"" AND all:evaluation",https://arxiv.org/abs/2607.07989,https://arxiv.org/pdf/2607.07989
14,2606.17546,2026-06-16T05:50:55Z,26,SEAGym: An Evaluation Environment for Self-Evolving LLM Agents,Congjie Zheng; Chuanyi Xue; Bin Liang; Jun Yang; Changshui Zhang,cs.AI,cost/budget; evaluation; explicit harness/scaffold; harness component; reliability; transfer/overfit,"all:""LLM agent"" AND all:memory | all:""Terminal-Bench"" | all:""agent harness""",https://arxiv.org/abs/2606.17546,https://arxiv.org/pdf/2606.17546
15,2606.03467,2026-06-02T10:45:49Z,26,StepFinder: A Temporal Semantic Framework for Failure Attribution in Multi-Agent Systems,Taiyu Zhu; Yifan Wu; Weilin Jin; Ying Li; Gang Huang,cs.AI,attribution/statistics; cost/budget; evaluation; reliability,"all:""inference-time"" AND all:agent",https://arxiv.org/abs/2606.03467,https://arxiv.org/pdf/2606.03467
16,2605.17641,2026-05-17T20:21:55Z,26,Causal Intervention-Based Memory Selection for Long-Horizon LLM Agents,Saksham Sahai Srivastava,cs.AI,attribution/statistics; evaluation; harness component; reliability; trajectory,"all:""LLM agent"" AND all:robustness",https://arxiv.org/abs/2605.17641,https://arxiv.org/pdf/2605.17641
17,2604.17288,2026-04-19T07:04:49Z,26,Clover: A Neural-Symbolic Agentic Harness with Stochastic Tree-of-Thoughts for Verified RTL Repair,Zizhang Luo; Yansong Xu; Runlin Guo; Fan Cui; Kexing Zhou; Mile Xia; Hongyuan Hou; Yuhao Luo; Yun Liang,cs.AR,evaluation; explicit harness/scaffold; harness component; reliability,"all:""LLM agent"" AND all:verification | all:""test-time scaling"" AND all:agent",https://arxiv.org/abs/2604.17288,https://arxiv.org/pdf/2604.17288
18,2604.04527,2026-04-06T08:46:14Z,26,ENCRUST: Encapsulated Substitution and Agentic Refinement on a Live Scaffold for Safe C-to-Rust Translation,Hohyun Sim; Hyeonjoong Cho; Ali Shokri; Zhoulai Fu; Binoy Ravindran,cs.SE,evaluation; explicit harness/scaffold; harness component; reliability,"all:""LLM agent"" AND all:verification",https://arxiv.org/abs/2604.04527,https://arxiv.org/pdf/2604.04527
19,2603.05344,2026-03-05T16:21:08Z,26,"Building Effective AI Coding Agents for the Terminal: Scaffolding, Harness, Context Engineering, and Lessons Learned",Nghi D. Q. Bui,cs.AI,cost/budget; explicit harness/scaffold; harness component; trajectory,"all:""coding agent"" AND all:scaffold",https://arxiv.org/abs/2603.05344,https://arxiv.org/pdf/2603.05344
20,2607.02598,2026-07-01T10:13:13Z,25,Evaluating Agentic Harness Systems for Autonomous Computational Pathology,Jie Lin; Zongyi Chen; Qiaoling Zheng; Liuyi Wang; Hengyi Jiang; Jiabao Chen; Xiang Liu; Yinghong Yang; Liansheng Wang,cs.CV,evaluation; explicit harness/scaffold; harness component; trajectory,"all:""agent harness"" | all:""agentic system"" AND all:evaluation",https://arxiv.org/abs/2607.02598,https://arxiv.org/pdf/2607.02598
21,2606.18363,2026-06-16T18:09:26Z,25,Guava: An Effective and Universal Harness for Embodied Manipulation,Haowen Liu; Xirui Li; Shaoxiong Yao; Peng Shi; Tianyi Zhou; Jia-Bin Huang; Furong Huang; Jiayuan Mao,cs.RO,explicit harness/scaffold; harness component; trajectory; transfer/overfit,"all:""agent harness""",https://arxiv.org/abs/2606.18363,https://arxiv.org/pdf/2606.18363
22,2606.15874,2026-06-14T15:47:27Z,25,LLM-as-Code: Agentic Programming for Agent Harness,Junjia Qi; Zichuan Fu; Jingtong Gao; Wenlin Zhang; Hanyu Yan; Xian Wu; Xiangyu Zhao,cs.AI,cost/budget; explicit harness/scaffold; harness component; reliability,"all:""agent harness""",https://arxiv.org/abs/2606.15874,https://arxiv.org/pdf/2606.15874
23,2606.11686,2026-06-10T05:55:13Z,25,"Layer-Isolated Evaluation: Gating the Deterministic Scaffold of a Production LLM Agent with a No-LLM, Regression-Locked Test Harness",Sawyer Zhang; Alexander Wang; Sophie Lei,cs.CL,evaluation; explicit harness/scaffold; harness component,"all:""LLM agent"" AND all:memory",https://arxiv.org/abs/2606.11686,https://arxiv.org/pdf/2606.11686
24,2605.25958,2026-05-25T15:30:54Z,25,PolyGnosis 2.0: Enhancing LLM Reasoning via Agentic Harness Engineering for Polymarket and OSINT Insight Extraction,Daren Wang; Hong Xu; Jiawen Xian,cs.CL,cost/budget; evaluation; explicit harness/scaffold; harness component,"all:""agent harness"" | all:""harness engineering""",https://arxiv.org/abs/2605.25958,https://arxiv.org/pdf/2605.25958
25,2605.18747,2026-05-18T17:59:03Z,25,Code as Agent Harness,Xuying Ning; Katherine Tieu; Dongqi Fu; Tianxin Wei; Zihao Li; Yuanchen Bei; Jiaru Zou; Mengting Ai; Zhining Liu; Ting-Wei Li; Lingjie Chen; Yanjun Zhao; Ke Yang; Bingxuan Li; Cheng Qian; Gaotang Li; Xiao Lin; Zhichen Zeng; Ruizhong Qiu; Sirui Chen; Yifan Sun; Xiyuan Yang; Ruida Wang; Rui Pan; Chenyuan Yang; Dylan Zhang; Liri Fang; Zikun Cui; Yang Cao; Pan Chen; Dorothy Sun; Ren Chen; Mahesh Srinivasan; Nipun Mathur; Yinglong Xia; Hong Li; Hong Yan; Pan Lu; Lingming Zhang; Tong Zhang; Hanghang Tong; Jingrui He,cs.CL,evaluation; explicit harness/scaffold; harness component; trajectory,"all:""agent harness"" | all:""harness engineering""",https://arxiv.org/abs/2605.18747,https://arxiv.org/pdf/2605.18747
26,2604.25850,2026-04-28T16:55:02Z,25,Agentic Harness Engineering: Observability-Driven Automatic Evolution of Coding-Agent Harnesses,Jiahang Lin; Shichun Liu; Chengjun Pan; Lizhi Lin; Shihan Dou; Zhiheng Xi; Xuanjing Huang; Hang Yan; Zhenhua Han; Tao Gui; Yu-Gang Jiang,cs.CL,evaluation; explicit harness/scaffold; harness component; trajectory,"all:""Terminal-Bench"" | all:""harness engineering""",https://arxiv.org/abs/2604.25850,https://arxiv.org/pdf/2604.25850
27,2604.08224,2026-04-09T13:19:41Z,25,"Externalization in LLM Agents: A Unified Review of Memory, Skills, Protocols and Harness Engineering",Chenyu Zhou; Huacan Chai; Wenteng Chen; Zihan Guo; Rong Shan; Yuanyi Song; Tianyi Xu; Yingxuan Yang; Aofan Yu; Weiming Zhang; Congming Zheng; Jiachen Zhu; Zeyu Zheng; Zhuosheng Zhang; Xingyu Lou; Changwang Zhang; Zhihui Fu; Jun Wang; Weiwen Liu; Jianghao Lin; Weinan Zhang,cs.SE,evaluation; explicit harness/scaffold; harness component,"all:""harness engineering""",https://arxiv.org/abs/2604.08224,https://arxiv.org/pdf/2604.08224
28,2606.24775,2026-06-23T16:34:55Z,24,Are We Ready For An Agent-Native Memory System?,Wei Zhou; Xuanhe Zhou; Shaokun Han; Hongming Xu; Guoliang Li; Zhiyu Li; Feiyu Xiong; Fan Wu,cs.CL,cost/budget; evaluation; harness component; reliability; system-level; trajectory,"all:""LLM agent"" AND all:memory | all:""LLM agent"" AND all:robustness | all:""LLM agents"" AND all:benchmark",https://arxiv.org/abs/2606.24775,https://arxiv.org/pdf/2606.24775
29,2606.06284,2026-06-04T15:24:10Z,24,ToolChoiceConfusion: Causal Minimal Tool Filtering for Reliable LLM Agents,Rahul Suresh Babu; Laxmipriya Ganesh Iyer,cs.AI,attribution/statistics; cost/budget; evaluation; harness component; reliability,"all:""LLM agent"" AND all:""tool calling""",https://arxiv.org/abs/2606.06284,https://arxiv.org/pdf/2606.06284
30,2606.05922,2026-06-04T09:26:00Z,24,Evolving Agents in the Dark: Retrospective Harness Optimization via Self-Preference,Wenbo Pan; Shujie Liu; Chin-Yew Lin; Jingying Zeng; Xianfeng Tang; Xiangyang Zhou; Yan Lu; Xiaohua Jia,cs.AI,explicit harness/scaffold; reliability; trajectory,"all:""SWE-bench"" AND all:agent | all:""agent harness""",https://arxiv.org/abs/2606.05922,https://arxiv.org/pdf/2606.05922
31,2605.28334,2026-05-27T11:37:18Z,24,Towards Cybersecurity SuperIntelligence (CSI): What's the best harness for cybersecurity?,Víctor Mayoral-Vilches; Francesco Balassone; María Sanz-Gómez; Paul Zabalegui Landa; Daniel Sánchez Prieto; Marina Oteiza Álvarez; Davide Quarta; Martin Pinzger,cs.CR,cost/budget; evaluation; explicit harness/scaffold,"all:""agent harness""",https://arxiv.org/abs/2605.28334,https://arxiv.org/pdf/2605.28334
32,2605.27333,2026-05-26T17:41:01Z,24,FinHarness: An Inline Lifecycle Safety Harness for Finance LLM Agents,Haoxuan Jia; Yang Liu; Bin Chong; Yingguang Yang; Yancheng Chen; Jiayu Liang; Qian Li; Hanning Lu; Kefu Xu; Hao Zheng; Chongyang Zhang; Hao Peng; Philip S. Yu,cs.CL,cost/budget; explicit harness/scaffold; harness component; trajectory,"all:""LLM agent"" AND all:""tool calling"" | all:""LLM agent"" AND all:verification",https://arxiv.org/abs/2605.27333,https://arxiv.org/pdf/2605.27333
33,2605.11671,2026-05-12T07:28:12Z,24,Cochise: A Reference Harness for Autonomous Penetration Testing,Andreas Happe; Jürgen Cito,cs.CR,cost/budget; explicit harness/scaffold; harness component; trajectory,"all:""agent scaffold""",https://arxiv.org/abs/2605.11671,https://arxiv.org/pdf/2605.11671
34,2604.09158,2026-04-10T09:43:17Z,24,Structuring versus Problematizing: How LLM-based Agents Scaffold Learning in Diagnostic Reasoning,Fatma Betül Güreş; Tanya Nazaretsky; Seyed Parsa Neshaei; Tanja Käser,cs.HC,explicit harness/scaffold; trajectory; transfer/overfit,"all:""agent scaffold""",https://arxiv.org/abs/2604.09158,https://arxiv.org/pdf/2604.09158
35,2606.27154,2026-06-25T15:24:23Z,23,OpenRCA 2.0: From Outcome Labels to Causal Process Supervision,Aoyang Fang; Yifan Yang; Jin'ao Shang; Qisheng Lu; Junjielung Xu; Rui Wang; Songhan Zhang; Yuzhong Zhang; Boxi Yu; Pinjia He,cs.AI,attribution/statistics; evaluation; harness component; reliability,"all:""LLM agent"" AND all:evaluation | all:""LLM agent"" AND all:verification | all:""LLM agents"" AND all:benchmark",https://arxiv.org/abs/2606.27154,https://arxiv.org/pdf/2606.27154
36,2606.25514,2026-06-24T07:48:05Z,23,Unlocking Model Potentials Through Adaptive Multi-Agent Scaffolding for Efficient Issue Resolution,Yang Chen; Aliya Ahmad; Yiheng Zhou; Reyhaneh Jabbarvand,cs.SE,cost/budget; evaluation; explicit harness/scaffold; harness component; reliability; trajectory,"all:""SWE-bench"" AND all:agent | all:""agent scaffold""",https://arxiv.org/abs/2606.25514,https://arxiv.org/pdf/2606.25514
37,2606.18037,2026-06-16T15:10:29Z,23,ProvenanceGuard: Source-Aware Factuality Verification for MCP-Based LLM Agents,Ander Alvarez; Santhiya Rajan; Samuel Mugel; Román Orús,cs.AI,attribution/statistics; cost/budget; evaluation; harness component; reliability,"all:""LLM agent"" AND all:verification",https://arxiv.org/abs/2606.18037,https://arxiv.org/pdf/2606.18037
38,2606.15508,2026-06-13T23:27:51Z,23,ToolMenuBench: Benchmarking Tool-Menu Filtering Strategies for Reliable and Efficient LLM Agents,Rahul Suresh Babu; Laxmipriya Ganesh Iyer,cs.AI,attribution/statistics; cost/budget; evaluation; harness component; reliability,"all:""LLM agent"" AND all:""tool calling""",https://arxiv.org/abs/2606.15508,https://arxiv.org/pdf/2606.15508
39,2606.15077,2026-06-13T03:15:53Z,23,Risk-Aware LLM Agents for Geospatial Data Retrieval: Design and Preliminary Adversarial Evaluation,Kyle Gao; Joel Cumming; Jonathan Li; Linlin Xu; David A. Clausi,cs.AI,cost/budget; evaluation; reliability; system-level; trajectory,"all:""LLM agent"" AND all:robustness",https://arxiv.org/abs/2606.15077,https://arxiv.org/pdf/2606.15077
40,2606.12882,2026-06-11T04:18:37Z,23,HarnessBridge: Learnable Bidirectional Controller for LLM Agent Harness,Xiaoxuan Wang; Haixin Wang; Alexander Taylor; Jason Cong; Yizhou Sun; Wei Wang,cs.AI,cost/budget; explicit harness/scaffold; trajectory,"all:""SWE-bench"" AND all:agent | all:""Terminal-Bench"" | all:""agent harness""",https://arxiv.org/abs/2606.12882,https://arxiv.org/pdf/2606.12882
41,2606.11120,2026-06-09T17:16:30Z,23,Monte Carlo Pass Search: Using Trajectory Generation for 3D Counterfactual Pass Evaluation in Football,Andrew Kang; Priya Narasimhan,cs.AI,attribution/statistics; cost/budget; evaluation; trajectory,"all:""agent trajectory"" AND all:evaluation",https://arxiv.org/abs/2606.11120,https://arxiv.org/pdf/2606.11120
42,2606.10322,2026-06-09T02:18:44Z,23,Game-Theoretic Multi-Agent Control for Robust Contextual Reasoning in LLMs,Saeid Jamshidi; Amin Nikanjam; Arghavan Moradi Dakhel; Kawser Wazed Nafi; Foutse Khomh,cs.CR,attribution/statistics; cost/budget; evaluation; harness component; reliability; trajectory,"all:""LLM agent"" AND all:""context management"" | all:""LLM agent"" AND all:robustness",https://arxiv.org/abs/2606.10322,https://arxiv.org/pdf/2606.10322
43,2605.31042,2026-05-29T09:19:07Z,23,From Prompt Injection to Persistent Control: Defending Agentic Harness Against Trojan Backdoors,Jiejun Tan; Zhicheng Dou; Xinyu Yang; Yuyang Hu; Yiruo Cheng; Xiaoxi Li; Ji-Rong Wen,cs.CR,evaluation; explicit harness/scaffold; harness component,"all:""agent harness""",https://arxiv.org/abs/2605.31042,https://arxiv.org/pdf/2605.31042
44,2605.29861,2026-05-28T12:40:34Z,23,Towards Verifiable Multimodal Deep Research: A Multi-Agent Harness for Interleaved Report Generation,Chenghao Zhang; Guanting Dong; Yufan Liu; Tong Zhao; Xiaoxi Li; Zhicheng Dou,cs.CL,evaluation; explicit harness/scaffold; harness component,"all:""agent harness""",https://arxiv.org/abs/2605.29861,https://arxiv.org/pdf/2605.29861
45,2605.24539,2026-05-23T12:10:52Z,23,DemoEvolve: Overcoming Sparse Feedback in Agentic Harness Evolution with Demonstrations,Lirong Che; Yuzhe yang; Peiwen lin; Chuang wang; Xueqian wang; Jian su,cs.AI,cost/budget; explicit harness/scaffold; trajectory,"all:""agent harness""",https://arxiv.org/abs/2605.24539,https://arxiv.org/pdf/2605.24539
46,2605.15230,2026-05-13T18:03:51Z,23,EnergyAgentBench: Benchmarking LLM Agents on Live Energy Infrastructure Data,Eliseo Curcio,econ.EM,attribution/statistics; cost/budget; evaluation; harness component; reliability; trajectory,"all:""LLM agent"" AND all:""tool calling""",https://arxiv.org/abs/2605.15230,https://arxiv.org/pdf/2605.15230
47,2602.02475,2026-02-02T18:54:07Z,23,AgentRx: Diagnosing AI Agent Failures from Execution Trajectories,Shraddha Barke; Arnav Goyal; Alind Khare; Avaljot Singh; Suman Nath; Chetan Bansal,cs.AI,attribution/statistics; cost/budget; evaluation; harness component; reliability; trajectory,"all:""agent trajectory"" AND all:evaluation",https://arxiv.org/abs/2602.02475,https://arxiv.org/pdf/2602.02475
48,2607.02255,2026-07-02T14:44:32Z,22,AgenticSTS: A Bounded-Memory Testbed for Long-Horizon LLM Agents,Xiangchen Cheng; Yunwei Jiang; Jianwen Sun; Zizhen Li; Chuanhao Li; Xiangcheng Cao; Yihao Liu; Fanrui Zhang; Li Jin; Kaipeng Zhang,cs.AI,evaluation; explicit harness/scaffold; harness component; trajectory,"all:""LLM agent"" AND all:""tool calling"" | all:""LLM agent"" AND all:memory | all:""LLM agents"" AND all:benchmark",https://arxiv.org/abs/2607.02255,https://arxiv.org/pdf/2607.02255
49,2607.01916,2026-07-02T09:15:28Z,22,ContextSniper: AntTrail's Token-Efficient Code Memory for Repository-Level Program Repair,Chiwang Luk; Matin Mohammad Najafi; Zhifeng Jia; Wei Yang; Xiuchang Li; Jinwei Zhu; Yang Ren; Lei Chen; Gao Cong,cs.AI,cost/budget; evaluation; explicit harness/scaffold; harness component,"all:""SWE-bench"" AND all:agent",https://arxiv.org/abs/2607.01916,https://arxiv.org/pdf/2607.01916
50,2606.30383,2026-06-29T14:39:38Z,22,Whose Side Is Your Agent On? Multi-Party Principal Loyalty in LLM Agents,Bojie Li; Noah Shi,cs.AI,cost/budget; evaluation; explicit harness/scaffold; reliability; trajectory,"all:""LLM agent"" AND all:evaluation | all:""LLM agents"" AND all:benchmark",https://arxiv.org/abs/2606.30383,https://arxiv.org/pdf/2606.30383
51,2606.29193,2026-06-28T04:38:05Z,22,A Multi-Dataset Benchmark for Evaluating LLM Agents in Microservice Failure Diagnosis,Yuanhong Cai; Xiaohui Nie; Kanglin Yin; Changhua Pei; Yongqian Sun; Shenglin Zhang; Haibin Liu; Guiyang Liu; Xidao Wen; Fang Situ; Dan Pei,cs.SE,attribution/statistics; evaluation; reliability,"all:""LLM agent"" AND all:evaluation | all:""LLM agents"" AND all:benchmark",https://arxiv.org/abs/2606.29193,https://arxiv.org/pdf/2606.29193
52,2606.26614,2026-06-25T05:19:07Z,22,HiLSVA: Design and Evaluation of a Human-in-the-Loop Agentic System for Scientific Visualization,Kuangshi Ai; Patrick Phuoc Do; Chaoli Wang,cs.HC,cost/budget; evaluation; system-level,"all:""LLM agent"" AND all:evaluation | all:""agentic system"" AND all:evaluation",https://arxiv.org/abs/2606.26614,https://arxiv.org/pdf/2606.26614
53,2606.24937,2026-06-22T17:48:54Z,22,The Hitchhiker's Guide to Agentic AI: From Foundations to Systems,Haggai Roitman,cs.AI,evaluation; explicit harness/scaffold; harness component; system-level; trajectory,"all:""agent harness"" | all:""agentic system"" AND all:evaluation | all:""test-time scaling"" AND all:agent",https://arxiv.org/abs/2606.24937,https://arxiv.org/pdf/2606.24937
54,2606.23449,2026-06-22T15:02:42Z,22,"AOHP: An Open-Source OS-Level Agent Harness for Personalized, Efficient and Secure Interaction",Shanhui Zhao; Jiacheng Liu; Guohong Liu; Jichao Yan; Jialei Ye; Yuhao Yang; Hao Wen; Shizuo Tian; Yizhen Yuan; Yuxuan Chen; Yunxin Liu; Ju Ren; Ya-Qin Zhang; Chao Huang; Yao Guo; Yuanchun Li,cs.AI,cost/budget; explicit harness/scaffold; harness component,"all:""agent harness""",https://arxiv.org/abs/2606.23449,https://arxiv.org/pdf/2606.23449
55,2606.22528,2026-06-21T14:30:20Z,22,Governance Decay: How Context Compaction Silently Erases Safety Constraints in Long-Horizon LLM Agents,Shiyang Chen,cs.AI,cost/budget; evaluation; harness component; reliability; trajectory,"all:""LLM agent"" AND all:""context management"" | all:""LLM agent"" AND all:""tool calling"" | all:""LLM agents"" AND all:benchmark | all:""long-horizon agent"" AND all:reliability",https://arxiv.org/abs/2606.22528,https://arxiv.org/pdf/2606.22528
56,2606.12318,2026-06-10T16:53:03Z,22,Harness In-Context Operator Learning with Chain of Operators,Minghui Yang; Ling Guo; Liu Yang,cs.LG,evaluation; explicit harness/scaffold; harness component,"all:""harness engineering""",https://arxiv.org/abs/2606.12318,https://arxiv.org/pdf/2606.12318
57,2606.10106,2026-06-08T19:35:37Z,22,What makes a harness a harness: necessary and sufficient conditions for an agent harness,Sanderson Oliveira de Macedo,cs.SE,evaluation; explicit harness/scaffold,"all:""SWE-bench"" AND all:agent | all:""agent harness"" | all:""coding agent"" AND all:scaffold",https://arxiv.org/abs/2606.10106,https://arxiv.org/pdf/2606.10106
58,2606.09498,2026-06-08T13:50:23Z,22,Self-Harness: Harnesses That Improve Themselves,Hangfan Zhang; Shao Zhang; Kangcong Li; Chen Zhang; Yang Chen; Yiqun Zhang; Lei Bai; Shuyue Hu,cs.CL,explicit harness/scaffold; reliability,"all:""Terminal-Bench"" | all:""agent harness""",https://arxiv.org/abs/2606.09498,https://arxiv.org/pdf/2606.09498
59,2606.08952,2026-06-08T02:55:05Z,22,AlloSpatial: Agentic Harness Framework for Spatial Reasoning in Foundation Models,Shouwei Ruan; Bin Wang; Zhenyu Wu; Qihui Zhu; Yuxiang Zhang; Jingzhi Li; Yubin Wang; Xingxing Wei,cs.AI,explicit harness/scaffold; harness component; trajectory,"all:""agent harness""",https://arxiv.org/abs/2606.08952,https://arxiv.org/pdf/2606.08952
60,2606.06324,2026-06-04T15:58:30Z,22,From Failed Trajectories to Reliable LLM Agents: Diagnosing and Repairing Harness Flaws,Mengzhuo Chen; Junjie Wang; Zhe Liu; Yawen Wang; Haiming Zheng; Qing Wang,cs.SE,explicit harness/scaffold; harness component; trajectory,"all:""LLM agent"" AND all:verification | all:""agent harness""",https://arxiv.org/abs/2606.06324,https://arxiv.org/pdf/2606.06324
61,2606.05525,2026-06-04T00:14:25Z,22,SciVisAgentSkills: Design and Evaluation of Agent Skills for Scientific Data Analysis and Visualization,Kuangshi Ai; Haichao Miao; Kaiyuan Tang; Shusen Liu; Chaoli Wang,cs.AI,cost/budget; evaluation; explicit harness/scaffold; harness component; trajectory,"all:""agent harness""",https://arxiv.org/abs/2606.05525,https://arxiv.org/pdf/2606.05525
62,2605.30611,2026-05-28T22:04:30Z,22,Crafter: A Multi-Agent Harness for Editable Scientific Figure Generation from Diverse Inputs,Haozhe Zhao; Shuzheng Si; Zhenhailong Wang; Zheng Wang; Liang Chen; Xiaotong Li; Zhixiang Liang; Maosong Sun; Minjia Zhang,cs.CV,evaluation; explicit harness/scaffold,"all:""agent harness""",https://arxiv.org/abs/2605.30611,https://arxiv.org/pdf/2605.30611
63,2605.30434,2026-05-28T18:00:20Z,22,LongDS-Bench: On the Failure of Long-Horizon Agentic Data Analysis,Kewei Xu; Xiaoben Lu; Shuofei Qiao; Zihan Ding; Haoming Xu; Lei Liang; Ningyu Zhang,cs.LG,cost/budget; evaluation; harness component; reliability; trajectory,"all:""long-horizon agent"" AND all:reliability",https://arxiv.org/abs/2605.30434,https://arxiv.org/pdf/2605.30434
